family,n_qubits,depth,backend,base_shots,n_seeds,feat_n_qubits,feat_depth,feat_n_1q_gates,feat_n_2q_gates,feat_n_cnot,feat_n_non_clifford,feat_clifford_fraction,feat_depth_per_qubit,feat_backend_avg_2q_error,feat_backend_avg_readout_error,feat_log2_shots,feat_n_2q_layers,feat_entangling_density,feat_mean_rz_angle_dist,feat_backend_avg_1q_error,raw_mean_abs_error,raw_n_seeds,raw_plus_mean_abs_error,raw_plus_n_seeds,zne_mean_abs_error,zne_n_seeds,zne_fr_mean_abs_error,zne_fr_n_seeds,cdr_mean_abs_error,cdr_n_seeds,cdr_ridge_mean_abs_error,cdr_ridge_n_seeds,rem_mean_abs_error,rem_n_seeds,best_technique,best_technique_cost_aware
ghz_plus,2,4,FakeLagosV2,256,5,2.0,4.0,1.8,2.2,2.2,0.0,1.0,2.0,0.014634974746340002,0.2035428571428571,8.0,2.2,0.275,0.0,0.0001673853769984,0.5171875,5,0.530965909090909,5,0.49687500000000034,5,0.5296875,5,,0,,0,0.1103715815197391,5,rem,rem
ghz_plus,2,4,FakeLagosV2,512,5,2.0,4.0,1.8,2.2,2.2,0.0,1.0,2.0,0.014634974746340002,0.2035428571428571,9.0,2.2,0.275,0.0,0.0001673853769984,0.5078125,5,0.5262073863636363,5,0.5046875000000004,5,0.51328125,5,,0,,0,0.03776174051054848,5,rem,rem
ghz_plus,2,4,FakeLagosV2,1024,5,2.0,4.0,1.8,2.2,2.2,0.0,1.0,2.0,0.014634974746340002,0.2035428571428571,10.0,2.2,0.275,0.0,0.0001673853769984,0.53671875,5,0.5278409090909092,5,0.5214843750000001,5,0.503515625,5,,0,,0,0.05088409808258314,5,rem,rem
ghz_plus,2,4,FakeLagosV2,2048,5,2.0,4.0,1.8,2.2,2.2,0.0,1.0,2.0,0.014634974746340002,0.2035428571428571,11.0,2.2,0.275,0.0,0.0001673853769984,0.5296875,5,0.5264914772727274,5,0.5162109375000004,5,0.5337890625,5,,0,,0,0.034606794625259084,5,rem,rem
ghz_plus,2,4,FakeLagosV2,4096,5,2.0,4.0,1.8,2.2,2.2,0.0,1.0,2.0,0.014634974746340002,0.2035428571428571,12.0,2.2,0.275,0.0,0.0001673853769984,0.5212890625,5,0.5269797585227273,5,0.5095703125000005,5,0.52529296875,5,,0,,0,0.01523485056544004,5,rem,rem
ghz_plus,2,4,FakeLagosV2@x0.25,256,5,2.0,4.0,1.8,2.2,2.2,0.0,1.0,2.0,0.0036587436865850005,0.0508857142857142,8.0,2.2,0.275,0.0,4.1846344249624994e-05,0.178125,5,0.1461647727272727,5,0.17031250000000092,5,0.159375,5,,0,,0,0.026772491549055578,5,rem,rem
ghz_plus,2,4,FakeLagosV2@x0.25,512,5,2.0,4.0,1.8,2.2,2.2,0.0,1.0,2.0,0.0036587436865850005,0.0508857142857142,9.0,2.2,0.275,0.0,4.1846344249624994e-05,0.1640625,5,0.1617897727272727,5,0.1609375000000008,5,0.17265625,5,,0,,0,0.010213758974469179,5,rem,rem
ghz_plus,2,4,FakeLagosV2@x0.25,1024,5,2.0,4.0,1.8,2.2,2.2,0.0,1.0,2.0,0.0036587436865850005,0.0508857142857142,10.0,2.2,0.275,0.0,4.1846344249624994e-05,0.167578125,5,0.15134943181818178,5,0.15703125000000048,5,0.159765625,5,,0,,0,0.02631726390903416,5,rem,rem
ghz_plus,2,4,FakeLagosV2@x0.25,2048,5,2.0,4.0,1.8,2.2,2.2,0.0,1.0,2.0,0.0036587436865850005,0.0508857142857142,11.0,2.2,0.275,0.0,4.1846344249624994e-05,0.147265625,5,0.14852627840909088,5,0.1414062500000009,5,0.162890625,5,,0,,0,0.01124078430042552,5,rem,rem
ghz_plus,2,4,FakeLagosV2@x0.25,4096,5,2.0,4.0,1.8,2.2,2.2,0.0,1.0,2.0,0.0036587436865850005,0.0508857142857142,12.0,2.2,0.275,0.0,4.1846344249624994e-05,0.1548828125,5,0.1509588068181818,5,0.148046875000001,5,0.142578125,5,,0,,0,0.007677980744038859,5,rem,rem
